display  D   display_settings.c:506  _al_score_display_settings       [   0.10123] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.10126] color: 32 (rgba 8880), depth: 32, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10130] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.10133] color: 32 (rgba 8880), depth: 32, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10137] Score is : 587
display  D   display_settings.c:191  debug_display_settings           [   0.10140] color: 32 (rgba 8880), depth: 32, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10144] Score is : 586
display  D   display_settings.c:191  debug_display_settings           [   0.10147] color: 32 (rgba 8880), depth: 32, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10151] Score is : 585
display  D   display_settings.c:191  debug_display_settings           [   0.10154] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10158] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.10161] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10165] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [   0.10167] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10171] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.10174] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10178] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.10181] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10185] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.10188] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10192] Score is : 587
display  D   display_settings.c:191  debug_display_settings           [   0.10195] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10199] Score is : 586
display  D   display_settings.c:191  debug_display_settings           [   0.10202] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10206] Score is : 585
display  D   display_settings.c:191  debug_display_settings           [   0.10209] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10212] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.10217] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10222] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [   0.10226] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10231] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.10234] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10238] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.10242] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10246] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.10249] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10253] Score is : 587
display  D   display_settings.c:191  debug_display_settings           [   0.10256] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10261] Score is : 586
display  D   display_settings.c:191  debug_display_settings           [   0.10264] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10269] Score is : 585
display  D   display_settings.c:191  debug_display_settings           [   0.10272] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10276] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.10280] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10284] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [   0.10295] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10300] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.10303] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10307] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.10310] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10314] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.10318] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10322] Score is : 587
display  D   display_settings.c:191  debug_display_settings           [   0.10325] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10329] Score is : 586
display  D   display_settings.c:191  debug_display_settings           [   0.10332] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10335] Score is : 585
display  D   display_settings.c:191  debug_display_settings           [   0.10338] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.10342] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10345] color: 32 (rgba 8880), depth: 32, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.10349] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10352] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.10356] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10359] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.10363] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10366] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.10370] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10373] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.10377] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10390] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.10394] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10397] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.10401] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10413] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
